ad_id,suburb,title,address,price_raw,price_lkr,bedrooms,floor_sqft,url,land_perches,bathrooms
5870013,Ragama,(B216) Box Type Two Storey House For Sale in Ragama...,,Rs. 45M,45000000.0,4.0,4000.0,https://www.lankapropertyweb.com/sale/property_details-5870013.html,10.0,5.0
5723777,Gampaha,2 Bedroom House Construction in Gampaha for Rs. 14.6...,"With or Without Land, Gampaha",Rs. 14.63M[Build Cost Only],14630000.0,2.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5723777.html,7.0,2.0
5723791,Homagama,2 Bedroom House Construction in Homagama for Rs. 14.6...,"With or Without Land, Homagama",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5723791.html,7.0,2.0
5723931,Tangalle,2 Bedroom House Construction in Tangalle for Rs. 14.6...,"With or Without Land, Tangalle",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5723931.html,7.0,2.0
5723933,Tangalle,3 Bedroom house in Tangalle for Rs. 23.6 million /...,"With or Without Land, Tangalle",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5723933.html,7.0,2.0
5723799,Kottawa,2 Bedroom house construction in Kottawa for Rs. 14.6...,"With or Without Land, Kottawa",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5723799.html,7.0,2.0
5723806,Pannipitiya,2 Bedroom House Construction in Pannipitiya for Rs....,"With or Without Land, Pannipit..",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5723806.html,7.0,2.0
5724082,Katugastota,Ultra Modern 4 Bedroom House Construction in Katugastota...,"With or Without Land, Katugast..",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5724082.html,7.0,4.0
5724090,Katugastota,Super Luxury 5 Bedroom House in Katugastota for Rs....,"With or Without Land, Katugast..",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5724090.html,12.0,5.0
5724092,Digana,Luxury 3 Bedroom House Construction in Digana for Rs....,"With or Without Land, Digana",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5724092.html,7.0,2.0
5724099,Digana,Ultra Modern 4 Bedroom House Construction in Digana...,"With or Without Land, Digana",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5724099.html,7.0,4.0
5724103,Digana,2 Bedroom house construction in Digana for Rs. 14.6...,"With or Without Land, Digana",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5724103.html,7.0,2.0
5724105,Peradeniya,Luxury House in Peradeniya for Rs. 19.8 million / Rs....,"With or Without Land, Peradeni..",Rs. 19.8M[Build Cost Only],19800000.0,4.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5724105.html,7.0,2.0
